"Time","{DCGM_FI_DRIVER_VERSION=""535.216.01"", Hostname=""6gxr-testbed"", UUID=""GPU-09fc1ec0-62e4-11f0-afef-fd7637b115dc"", __name__=""DCGM_FI_DEV_GPU_UTIL"", container=""helm"", device=""nvidia0"", gpu=""0"", instance=""10.244.0.6:9400"", job=""gpu-metrics"", kubernetes_node=""6gxr-testbed"", modelName=""NVIDIA L4-8Q"", namespace=""vicom-renderer"", pci_bus_id=""00000000:00:05.0"", pod=""remote-renderer-helm""}"
2025-09-15 15:31:00,0
2025-09-15 15:31:15,0
2025-09-15 15:31:30,0
2025-09-15 15:31:45,0
2025-09-15 15:32:00,0
2025-09-15 15:32:15,0
2025-09-15 15:32:30,0
2025-09-15 15:32:45,5
2025-09-15 15:33:00,5
2025-09-15 15:33:15,5
2025-09-15 15:33:30,5
2025-09-15 15:33:45,5
2025-09-15 15:34:00,5
2025-09-15 15:34:15,5
2025-09-15 15:34:30,5
2025-09-15 15:34:45,5
2025-09-15 15:35:00,5
2025-09-15 15:35:15,5
2025-09-15 15:35:30,5
2025-09-15 15:35:45,5
2025-09-15 15:36:00,5
2025-09-15 15:36:15,5
2025-09-15 15:36:30,5
2025-09-15 15:36:45,5
2025-09-15 15:37:00,5
2025-09-15 15:37:15,5
2025-09-15 15:37:30,5
2025-09-15 15:37:45,0
2025-09-15 15:38:00,0
