"Time","{DCGM_FI_DRIVER_VERSION=""535.216.01"", Hostname=""6gxr-testbed"", UUID=""GPU-09fc1ec0-62e4-11f0-afef-fd7637b115dc"", __name__=""DCGM_FI_DEV_GPU_UTIL"", container=""helm"", device=""nvidia0"", gpu=""0"", instance=""10.244.0.6:9400"", job=""gpu-metrics"", kubernetes_node=""6gxr-testbed"", modelName=""NVIDIA L4-8Q"", namespace=""vicom-renderer"", pci_bus_id=""00000000:00:05.0"", pod=""remote-renderer-helm""}"
1757943600000,0
1757943615000,0
1757943630000,0
1757943645000,5
1757943660000,5
1757943675000,5
1757943690000,5
1757943705000,5
1757943720000,5
1757943735000,5
1757943750000,5
1757943765000,5
1757943780000,5
1757943795000,5
1757943810000,5
1757943825000,5
1757943840000,5
1757943855000,5
1757943870000,5
1757943885000,5
1757943900000,5
1757943915000,5
1757943930000,5
1757943945000,5
1757943960000,5
1757943975000,0
1757943990000,0
1757944005000,0
1757944020000,0
