"Time","{DCGM_FI_DRIVER_VERSION=""535.216.01"", Hostname=""6gxr-testbed"", UUID=""GPU-09fc1ec0-62e4-11f0-afef-fd7637b115dc"", __name__=""DCGM_FI_DEV_GPU_UTIL"", container=""helm"", device=""nvidia0"", gpu=""0"", instance=""10.244.0.6:9400"", job=""gpu-metrics"", kubernetes_node=""6gxr-testbed"", modelName=""NVIDIA L4-8Q"", namespace=""vicom-renderer"", pci_bus_id=""00000000:00:05.0"", pod=""remote-renderer-helm""}"
2025-09-08 11:35:00,0
2025-09-08 11:35:15,0
2025-09-08 11:35:30,0
2025-09-08 11:35:45,10
2025-09-08 11:36:00,10
2025-09-08 11:36:15,27
2025-09-08 11:36:30,27
2025-09-08 11:36:45,18
2025-09-08 11:37:00,18
2025-09-08 11:37:15,19
2025-09-08 11:37:30,19
2025-09-08 11:37:45,19
2025-09-08 11:38:00,19
2025-09-08 11:38:15,18
2025-09-08 11:38:30,18
2025-09-08 11:38:45,18
2025-09-08 11:39:00,18
2025-09-08 11:39:15,18
2025-09-08 11:39:30,18
2025-09-08 11:39:45,18
2025-09-08 11:40:00,18
2025-09-08 11:40:15,17
2025-09-08 11:40:30,17
2025-09-08 11:40:45,0
2025-09-08 11:41:00,0
