"Time","{DCGM_FI_DRIVER_VERSION=""535.216.01"", Hostname=""6gxr-testbed"", UUID=""GPU-09fc1ec0-62e4-11f0-afef-fd7637b115dc"", __name__=""DCGM_FI_DEV_GPU_UTIL"", container=""helm"", device=""nvidia0"", gpu=""0"", instance=""10.244.0.6:9400"", job=""gpu-metrics"", kubernetes_node=""6gxr-testbed"", modelName=""NVIDIA L4-8Q"", namespace=""vicom-renderer"", pci_bus_id=""00000000:00:05.0"", pod=""remote-renderer-helm""}"
2025-09-11 15:52:00,0
2025-09-11 15:52:15,0
2025-09-11 15:52:30,0
2025-09-11 15:52:45,0
2025-09-11 15:53:00,0
2025-09-11 15:53:15,0
2025-09-11 15:53:30,0
2025-09-11 15:53:45,9
2025-09-11 15:54:00,9
2025-09-11 15:54:15,24
2025-09-11 15:54:30,24
2025-09-11 15:54:45,19
2025-09-11 15:55:00,19
2025-09-11 15:55:15,19
2025-09-11 15:55:30,19
2025-09-11 15:55:45,19
2025-09-11 15:56:00,19
2025-09-11 15:56:15,19
2025-09-11 15:56:30,19
2025-09-11 15:56:45,19
2025-09-11 15:57:00,19
2025-09-11 15:57:15,19
2025-09-11 15:57:30,19
2025-09-11 15:57:45,19
2025-09-11 15:58:00,19
